DATE,CPALTT01USM659N
2010-01-01,2.62570864295763
2010-02-01,2.14333177814537
2010-03-01,2.31395944694395
2010-04-01,2.23644719564809
2010-05-01,2.02098608409396
2010-06-01,1.05334897284567
2010-07-01,1.23519277830146
2010-08-01,1.1481045618392
2010-09-01,1.14368265815928
2010-10-01,1.17218760552695
2010-11-01,1.14316091157028
2010-12-01,1.49572352731431
2011-01-01,1.63184685744875
2011-02-01,2.10758462865817
2011-03-01,2.68160326424087
2011-04-01,3.16363085927646
2011-05-01,3.56864578463458
2011-06-01,3.55882825224234
2011-07-01,3.62871598222108
2011-08-01,3.77120817911978
2011-09-01,3.8683568410403
2011-10-01,3.5251999213574
2011-11-01,3.39437759080085
2011-12-01,2.96241884487108
2012-01-01,2.92521671215085
2012-02-01,2.87109878043822
2012-03-01,2.65139819302177
2012-04-01,2.30273981129894
2012-05-01,1.7042537749376
2012-06-01,1.66399376223851
2012-07-01,1.40845070422536
2012-08-01,1.69237899755015
2012-09-01,1.99128208066498
2012-10-01,2.16234359887113
2012-11-01,1.76413384608586
2012-12-01,1.74102236874756
2013-01-01,1.59486466812257
2013-02-01,1.97792350974904
2013-03-01,1.47389621259677
2013-04-01,1.06308538148945
2013-05-01,1.36196505885168
2013-06-01,1.75441654537688
2013-07-01,1.9606816118444
2013-08-01,1.51836755954321
2013-09-01,1.18492526155215
2013-10-01,0.963612704643408
2013-11-01,1.23707220453391
2013-12-01,1.50173561961839
2014-01-01,1.57894736842106
2014-02-01,1.12634925010552
2014-03-01,1.51220287576309
2014-04-01,1.95285789851675
2014-05-01,2.12711154993668
2014-06-01,2.07234137316707
2014-07-01,1.9923286357643
2014-08-01,1.69961133416282
2014-09-01,1.65791867571505
2014-10-01,1.66434021563205
2014-11-01,1.32235518237088
2014-12-01,0.756493269655739
2015-01-01,-0.0893483130696457
2015-02-01,-0.0251298018153031
2015-03-01,-0.0736373908664181
2015-04-01,-0.199517446176685
2015-05-01,-0.0399327448507779
2015-06-01,0.123771203685436
2015-07-01,0.169569779643243
2015-08-01,0.195079293005743
2015-09-01,-0.0361297478059709
2015-10-01,0.17057443573555
2015-11-01,0.501797578667902
2015-12-01,0.729519786041594
2016-01-01,1.37308681383098
2016-02-01,1.01779978016546
2016-03-01,0.852536221142728
2016-04-01,1.12511041889441
2016-05-01,1.01932255419357
2016-06-01,0.997326494523087
2016-07-01,0.827138870498699
2016-08-01,1.06287450276103
2016-09-01,1.46378364748158
2016-10-01,1.63598752091762
2016-11-01,1.69253716250378
2016-12-01,2.07462213296691
2017-01-01,2.50004220905299
2017-02-01,2.73795817148932
2017-03-01,2.38061243344026
2017-04-01,2.1996898784173
2017-05-01,1.87487772084135
2017-06-01,1.63348795525647
2017-07-01,1.7279784563725
2017-08-01,1.93897421205818
2017-09-01,2.23296386500322
2017-10-01,2.04112870197618
2017-11-01,2.20258293868318
2017-12-01,2.10908247456841
2018-01-01,2.07050762027518
2018-02-01,2.21179542123865
2018-03-01,2.35971140397292
2018-04-01,2.46274394333479
2018-05-01,2.80101171480757
2018-06-01,2.87154783531668
2018-07-01,2.94951508664711
2018-08-01,2.69918010418745
2018-09-01,2.27697219419899
2018-10-01,2.52246992860703
2018-11-01,2.1766010321524
2018-12-01,1.91015884863136
2019-01-01,1.5512351381991
2019-02-01,1.52013526593331
2019-03-01,1.86252274056917
2019-04-01,1.99643977553026
2019-05-01,1.79022846876639
2019-06-01,1.64848465607624
2019-07-01,1.81146480639351
2019-08-01,1.74977988942916
2019-09-01,1.71130451316952
2019-10-01,1.7640429444214
2019-11-01,2.05127798189161
2019-12-01,2.28512974012172
2020-01-01,2.48657195525045
2020-02-01,2.33487356394594
2020-03-01,1.53932699191982
2020-04-01,0.329096686336815
2020-05-01,0.117926370210715
2020-06-01,0.645733047555484
2020-07-01,0.986081825303721
2020-08-01,1.3096453823307
2020-09-01,1.37132486105647
2020-10-01,1.18206616772747
2020-11-01,1.17453578426798
2020-12-01,1.36200549471932
2021-01-01,1.39976974156009
2021-02-01,1.67621521737451
2021-03-01,2.61976250895919
2021-04-01,4.15969483870212
2021-05-01,4.99270653759447
2021-06-01,5.39145141332134
2021-07-01,5.36547523938539
2021-08-01,5.25127155487501
2021-09-01,5.39034885507916
2021-10-01,6.2218689033289
2021-11-01,6.80900283980648
2021-12-01,7.03640286554513
2022-01-01,7.47987246828913
2022-02-01,7.87106389773928
2022-03-01,8.54245555484244
2022-04-01,8.25862934088236
2022-05-01,8.58151154367651
2022-06-01,9.05975796478416
2022-07-01,8.52481474562553
2022-08-01,8.26269250311623
2022-09-01,8.20166964383362
2022-10-01,7.7454273308049
2022-11-01,7.11032279419173
2022-12-01,6.45440133141082
2023-01-01,6.41014696885625
2023-02-01,6.03561307786658
2023-03-01,4.98497412209917
2023-04-01,4.93032039818893
2023-05-01,4.04760927279198
2023-06-01,2.96917765455889
2023-07-01,3.17778017794217
2023-08-01,3.66511238439956
2023-09-01,3.69969812134444
2023-10-01,3.24114465189321
