"Index","Date"
0.207446808510638,2010-01-01
0.159574468085106,2010-02-01
0.191489361702128,2010-03-01
0.0904255319148936,2010-04-01
0.117021276595745,2010-05-01
0.111702127659574,2010-06-01
0.0904255319148936,2010-07-01
0.127659574468085,2010-08-01
0.117021276595745,2010-09-01
0.159574468085106,2010-10-01
0.223404255319149,2010-11-01
0.143617021276596,2010-12-01
0.154255319148936,2011-01-01
0.154255319148936,2011-02-01
0.101063829787234,2011-03-01
0.0904255319148936,2011-04-01
0.175531914893617,2011-05-01
0.0957446808510638,2011-06-01
0.148936170212766,2011-07-01
0.159574468085106,2011-08-01
0.132978723404255,2011-09-01
0.132978723404255,2011-10-01
0.0904255319148936,2011-11-01
0.0691489361702128,2011-12-01
0.0585106382978723,2012-01-01
0.106382978723404,2012-02-01
0.117021276595745,2012-03-01
0.0797872340425532,2012-04-01
0.0904255319148936,2012-05-01
0.0957446808510638,2012-06-01
0.0691489361702128,2012-07-01
0,2012-08-01
0.0957446808510638,2012-09-01
0.143617021276596,2012-10-01
0.0585106382978723,2012-11-01
0.170212765957447,2012-12-01
0.122340425531915,2013-01-01
0.111702127659574,2013-02-01
0.132978723404255,2013-03-01
0.106382978723404,2013-04-01
0.117021276595745,2013-05-01
0.0957446808510638,2013-06-01
0.0425531914893617,2013-07-01
0.0904255319148936,2013-08-01
0.111702127659574,2013-09-01
0.127659574468085,2013-10-01
0.111702127659574,2013-11-01
0.122340425531915,2013-12-01
0.122340425531915,2014-01-01
0.127659574468085,2014-02-01
0.0957446808510638,2014-03-01
0.132978723404255,2014-04-01
0.106382978723404,2014-05-01
0.111702127659574,2014-06-01
0.138297872340426,2014-07-01
0.111702127659574,2014-08-01
0.101063829787234,2014-09-01
0.175531914893617,2014-10-01
0.127659574468085,2014-11-01
0.122340425531915,2014-12-01
0.170212765957447,2015-01-01
0.117021276595745,2015-02-01
0.180851063829787,2015-03-01
0.117021276595745,2015-04-01
0.0585106382978723,2015-05-01
0.0797872340425532,2015-06-01
0.101063829787234,2015-07-01
0.132978723404255,2015-08-01
0.154255319148936,2015-09-01
0.170212765957447,2015-10-01
0.117021276595745,2015-11-01
0.180851063829787,2015-12-01
0.132978723404255,2016-01-01
0.0478723404255319,2016-02-01
0.0904255319148936,2016-03-01
0.0797872340425532,2016-04-01
0.101063829787234,2016-05-01
0.0638297872340425,2016-06-01
0.0531914893617021,2016-07-01
0.074468085106383,2016-08-01
0.0585106382978723,2016-09-01
0.0372340425531915,2016-10-01
0.143617021276596,2016-11-01
0.0691489361702128,2016-12-01
0.106382978723404,2017-01-01
0.074468085106383,2017-02-01
0.106382978723404,2017-03-01
0.0531914893617021,2017-04-01
0.132978723404255,2017-05-01
0.0585106382978723,2017-06-01
0.106382978723404,2017-07-01
0.0851063829787234,2017-08-01
0.106382978723404,2017-09-01
0.106382978723404,2017-10-01
0.191489361702128,2017-11-01
0.175531914893617,2017-12-01
0.132978723404255,2018-01-01
0.329787234042553,2018-02-01
0.159574468085106,2018-03-01
0.0797872340425532,2018-04-01
0.0957446808510638,2018-05-01
0.0904255319148936,2018-06-01
0.159574468085106,2018-07-01
0.143617021276596,2018-08-01
0.101063829787234,2018-09-01
0.154255319148936,2018-10-01
0.0851063829787234,2018-11-01
0.106382978723404,2018-12-01
0.106382978723404,2019-01-01
0.117021276595745,2019-02-01
0.0478723404255319,2019-03-01
0.106382978723404,2019-04-01
0.143617021276596,2019-05-01
0.138297872340426,2019-06-01
0.154255319148936,2019-07-01
0.127659574468085,2019-08-01
0.122340425531915,2019-09-01
0.0425531914893617,2019-10-01
0.0265957446808511,2019-11-01
0.0585106382978723,2019-12-01
0.0638297872340425,2020-01-01
0.0904255319148936,2020-02-01
0.0904255319148936,2020-03-01
0.0425531914893617,2020-04-01
0.0531914893617021,2020-05-01
0.0478723404255319,2020-06-01
0.0425531914893617,2020-07-01
0.074468085106383,2020-08-01
0.0372340425531915,2020-09-01
0.0265957446808511,2020-10-01
0.0319148936170213,2020-11-01
0.0372340425531915,2020-12-01
0.101063829787234,2021-01-01
0.180851063829787,2021-02-01
0.281914893617021,2021-03-01
0.138297872340426,2021-04-01
0.26063829787234,2021-05-01
0.218085106382979,2021-06-01
0.329787234042553,2021-07-01
0.234042553191489,2021-08-01
0.191489361702128,2021-09-01
0.308510638297872,2021-10-01
0.558510638297872,2021-11-01
0.468085106382979,2021-12-01
0.601063829787234,2022-01-01
0.468085106382979,2022-02-01
0.478723404255319,2022-03-01
0.484042553191489,2022-04-01
0.670212765957447,2022-05-01
0.74468085106383,2022-06-01
0.781914893617021,2022-07-01
1,2022-08-01
0.680851063829787,2022-09-01
0.898936170212766,2022-10-01
0.98936170212766,2022-11-01
0.441489361702128,2022-12-01
0.590425531914894,2023-01-01
0.452127659574468,2023-02-01
0.50531914893617,2023-03-01
0.452127659574468,2023-04-01
0.51063829787234,2023-05-01
0.382978723404255,2023-06-01
0.425531914893617,2023-07-01
0.393617021276596,2023-08-01
0.462765957446808,2023-09-01
0.377659574468085,2023-10-01
0.425531914893617,2023-11-01
0.148936170212766,2023-12-01
