DATE,PCEC96
2010-01-01,11156.8
2010-02-01,11198.6
2010-03-01,11252.1
2010-04-01,11275.1
2010-05-01,11303.2
2010-06-01,11330.6
2010-07-01,11361.7
2010-08-01,11389.2
2010-09-01,11399.9
2010-10-01,11428.9
2010-11-01,11458.0
2010-12-01,11473.2
2011-01-01,11486.0
2011-02-01,11482.8
2011-03-01,11522.6
2011-04-01,11508.9
2011-05-01,11495.6
2011-06-01,11522.3
2011-07-01,11542.3
2011-08-01,11535.3
2011-09-01,11554.3
2011-10-01,11575.1
2011-11-01,11555.7
2011-12-01,11560.9
2012-01-01,11605.5
2012-02-01,11675.8
2012-03-01,11660.5
2012-04-01,11671.4
2012-05-01,11672.0
2012-06-01,11659.9
2012-07-01,11684.4
2012-08-01,11686.7
2012-09-01,11703.2
2012-10-01,11702.3
2012-11-01,11753.4
2012-12-01,11758.3
2013-01-01,11810.6
2013-02-01,11808.6
2013-03-01,11823.8
2013-04-01,11826.4
2013-05-01,11860.1
2013-06-01,11857.7
2013-07-01,11872.3
2013-08-01,11890.3
2013-09-01,11926.1
2013-10-01,11964.6
2013-11-01,12013.7
2013-12-01,12024.7
2014-01-01,11985.0
2014-02-01,12039.4
2014-03-01,12108.3
2014-04-01,12128.1
2014-05-01,12154.5
2014-06-01,12197.1
2014-07-01,12223.6
2014-08-01,12306.5
2014-09-01,12310.2
2014-10-01,12389.1
2014-11-01,12420.6
2014-12-01,12455.1
2015-01-01,12484.7
2015-02-01,12514.1
2015-03-01,12551.8
2015-04-01,12574.8
2015-05-01,12612.7
2015-06-01,12621.6
2015-07-01,12668.4
2015-08-01,12699.7
2015-09-01,12707.2
2015-10-01,12715.9
2015-11-01,12737.0
2015-12-01,12777.3
2016-01-01,12798.7
2016-02-01,12884.0
2016-03-01,12836.1
2016-04-01,12870.2
2016-05-01,12891.2
2016-06-01,12948.6
2016-07-01,12972.2
2016-08-01,12986.1
2016-09-01,13020.9
2016-10-01,13014.9
2016-11-01,13036.8
2016-12-01,13128.5
2017-01-01,13136.3
2017-02-01,13143.4
2017-03-01,13201.7
2017-04-01,13206.1
2017-05-01,13214.5
2017-06-01,13256.7
2017-07-01,13290.1
2017-08-01,13291.7
2017-09-01,13364.4
2017-10-01,13377.0
2017-11-01,13450.3
2017-12-01,13555.4
2018-01-01,13541.3
2018-02-01,13547.3
2018-03-01,13586.5
2018-04-01,13598.7
2018-05-01,13640.5
2018-06-01,13653.7
2018-07-01,13682.7
2018-08-01,13711.5
2018-09-01,13687.1
2018-10-01,13727.1
2018-11-01,13800.3
2018-12-01,13682.3
2019-01-01,13716.5
2019-02-01,13723.1
2019-03-01,13818.2
2019-04-01,13813.1
2019-05-01,13866.1
2019-06-01,13909.1
2019-07-01,13968.4
2019-08-01,14013.2
2019-09-01,14029.7
2019-10-01,14029.1
2019-11-01,14115.4
2019-12-01,14137.1
2020-01-01,14184.8
2020-02-01,14167.8
2020-03-01,13234.3
2020-04-01,11783.3
2020-05-01,12758.0
2020-06-01,13464.8
2020-07-01,13667.3
2020-08-01,13761.1
2020-09-01,13953.4
2020-10-01,13988.6
2020-11-01,13953.9
2020-12-01,14006.3
2021-01-01,14180.7
2021-02-01,14037.8
2021-03-01,14629.3
2021-04-01,14730.7
2021-05-01,14689.6
2021-06-01,14816.4
2021-07-01,14784.0
2021-08-01,14863.0
2021-09-01,14899.4
2021-10-01,14997.3
2021-11-01,15019.2
2021-12-01,14970.4
2022-01-01,14971.1
2022-02-01,14980.6
2022-03-01,15034.0
2022-04-01,15081.7
2022-05-01,15060.0
2022-06-01,15065.8
2022-07-01,15069.1
2022-08-01,15136.3
2022-09-01,15176.7
2022-10-01,15202.7
2022-11-01,15149.8
2022-12-01,15161.7
2023-01-01,15317.6
2023-02-01,15325.5
2023-03-01,15295.4
2023-04-01,15316.9
2023-05-01,15337.4
2023-06-01,15376.3
2023-07-01,15448.3
2023-08-01,15439.8
2023-09-01,15496.0
2023-10-01,15507.8
2023-11-01,15557.5
