DATE,PCENDC96
2010-01-01,2367.5
2010-02-01,2378.1
2010-03-01,2378.9
2010-04-01,2391.1
2010-05-01,2381.3
2010-06-01,2391.2
2010-07-01,2385.8
2010-08-01,2397.0
2010-09-01,2407.5
2010-10-01,2407.0
2010-11-01,2421.0
2010-12-01,2415.9
2011-01-01,2426.1
2011-02-01,2419.8
2011-03-01,2422.1
2011-04-01,2421.9
2011-05-01,2403.5
2011-06-01,2427.2
2011-07-01,2412.9
2011-08-01,2406.3
2011-09-01,2408.7
2011-10-01,2410.0
2011-11-01,2409.4
2011-12-01,2406.7
2012-01-01,2418.5
2012-02-01,2436.1
2012-03-01,2424.4
2012-04-01,2422.6
2012-05-01,2429.2
2012-06-01,2418.9
2012-07-01,2421.3
2012-08-01,2432.4
2012-09-01,2420.6
2012-10-01,2421.2
2012-11-01,2426.8
2012-12-01,2426.4
2013-01-01,2467.3
2013-02-01,2459.4
2013-03-01,2457.8
2013-04-01,2451.7
2013-05-01,2472.9
2013-06-01,2466.5
2013-07-01,2481.7
2013-08-01,2474.1
2013-09-01,2492.2
2013-10-01,2498.6
2013-11-01,2508.7
2013-12-01,2512.8
2014-01-01,2500.9
2014-02-01,2521.7
2014-03-01,2521.5
2014-04-01,2541.5
2014-05-01,2535.7
2014-06-01,2543.8
2014-07-01,2555.0
2014-08-01,2571.8
2014-09-01,2558.7
2014-10-01,2582.7
2014-11-01,2593.2
2014-12-01,2601.3
2015-01-01,2610.5
2015-02-01,2617.7
2015-03-01,2626.4
2015-04-01,2625.0
2015-05-01,2638.5
2015-06-01,2638.4
2015-07-01,2656.1
2015-08-01,2659.8
2015-09-01,2668.8
2015-10-01,2658.9
2015-11-01,2672.3
2015-12-01,2683.8
2016-01-01,2685.2
2016-02-01,2706.3
2016-03-01,2698.4
2016-04-01,2706.2
2016-05-01,2718.9
2016-06-01,2736.1
2016-07-01,2726.8
2016-08-01,2730.1
2016-09-01,2730.2
2016-10-01,2725.0
2016-11-01,2726.9
2016-12-01,2748.8
2017-01-01,2750.4
2017-02-01,2757.9
2017-03-01,2770.2
2017-04-01,2781.2
2017-05-01,2778.7
2017-06-01,2797.6
2017-07-01,2788.5
2017-08-01,2798.9
2017-09-01,2818.1
2017-10-01,2811.0
2017-11-01,2834.0
2017-12-01,2869.4
2018-01-01,2863.9
2018-02-01,2855.7
2018-03-01,2857.0
2018-04-01,2851.6
2018-05-01,2876.1
2018-06-01,2854.5
2018-07-01,2868.8
2018-08-01,2872.1
2018-09-01,2869.0
2018-10-01,2883.4
2018-11-01,2920.5
2018-12-01,2865.3
2019-01-01,2907.6
2019-02-01,2900.6
2019-03-01,2924.5
2019-04-01,2931.9
2019-05-01,2941.1
2019-06-01,2965.4
2019-07-01,2976.2
2019-08-01,2983.3
2019-09-01,2966.2
2019-10-01,2970.8
2019-11-01,2976.5
2019-12-01,2977.2
2020-01-01,2973.6
2020-02-01,2981.9
2020-03-01,3101.5
2020-04-01,2728.0
2020-05-01,2955.8
2020-06-01,3075.7
2020-07-01,3111.8
2020-08-01,3096.3
2020-09-01,3160.3
2020-10-01,3140.2
2020-11-01,3126.4
2020-12-01,3143.3
2021-01-01,3196.1
2021-02-01,3129.9
2021-03-01,3312.7
2021-04-01,3322.1
2021-05-01,3298.2
2021-06-01,3357.4
2021-07-01,3310.4
2021-08-01,3348.2
2021-09-01,3346.5
2021-10-01,3360.1
2021-11-01,3361.6
2021-12-01,3347.2
2022-01-01,3340.7
2022-02-01,3325.9
2022-03-01,3333.6
2022-04-01,3337.1
2022-05-01,3335.7
2022-06-01,3327.3
2022-07-01,3301.7
2022-08-01,3317.7
2022-09-01,3339.7
2022-10-01,3335.8
2022-11-01,3319.8
2022-12-01,3315.5
2023-01-01,3328.8
2023-02-01,3338.6
2023-03-01,3316.0
2023-04-01,3332.3
2023-05-01,3332.4
2023-06-01,3341.6
2023-07-01,3363.5
2023-08-01,3362.3
2023-09-01,3376.1
2023-10-01,3373.6
2023-11-01,3384.6
